slot_id,day_pattern,start_time,end_time,duration_hours
1,MW,08:00,10:00,2.0
2,MW,10:00,12:00,2.0
3,MW,12:00,14:00,2.0
4,MW,14:00,16:00,2.0
5,MW,16:00,18:00,2.0
6,MW,18:00,20:00,2.0
7,MW,20:00,22:00,2.0
8,WF,08:00,10:00,2.0
9,WF,10:00,12:00,2.0
10,WF,12:00,14:00,2.0
11,WF,14:00,16:00,2.0
12,WF,16:00,18:00,2.0
13,WF,18:00,20:00,2.0
14,WF,20:00,22:00,2.0
15,MF,08:00,10:00,2.0
16,MF,10:00,12:00,2.0
17,MF,12:00,14:00,2.0
18,MF,14:00,16:00,2.0
19,MF,16:00,18:00,2.0
20,MF,18:00,20:00,2.0
21,MF,20:00,22:00,2.0
22,TR,07:30,09:00,1.5
23,TR,09:00,10:30,1.5
24,TR,10:30,12:00,1.5
25,TR,12:00,13:30,1.5
26,TR,13:30,15:00,1.5
27,TR,15:00,16:30,1.5
28,TR,16:30,18:00,1.5
29,TR,18:00,19:30,1.5
30,TR,19:30,21:00,1.5
