student_id,course_code,term,likelihood,path_type
S001,ECI 3,2026FA,0.95,Undeclared
S002,ECI 3,2026FA,0.95,Undeclared
S003,ECI 3,2026FA,0.95,Undeclared
S004,ECI 3,2026FA,0.95,Undeclared
S005,ECI 3,2026FA,0.95,Undeclared
S006,ECI 3,2026FA,0.95,Undeclared
S007,ECI 3,2026FA,0.95,Undeclared
S008,ECI 3,2026FA,0.95,Undeclared
S009,ECI 3,2026FA,0.95,Undeclared
S010,ECI 3,2026FA,0.95,Undeclared
S011,ECI 3,2026FA,0.95,Undeclared
S012,ECI 3,2026FA,0.95,Undeclared
S013,ECI 3,2026FA,0.95,Undeclared
S014,ECI 3,2026FA,0.95,Undeclared
S015,ECI 3,2026FA,0.95,Undeclared
S016,ECI 3,2026FA,0.95,Undeclared
S017,ECI 3,2026FA,0.95,Undeclared
S018,ECI 3,2026FA,0.95,Undeclared
S019,ECI 3,2026FA,0.95,Undeclared
S020,ECI 3,2026FA,0.95,Undeclared
S021,ECI 3,2026FA,0.95,Undeclared
S022,ECI 3,2026FA,0.95,Undeclared
S023,ECI 3,2026FA,0.95,Undeclared
S024,ECI 3,2026FA,0.95,Undeclared
S025,ECI 3,2026FA,0.95,Undeclared
S026,ECI 3,2026FA,0.95,Undeclared
S027,ECI 3,2026FA,0.95,Undeclared
S028,ECI 3,2026FA,0.95,Undeclared
S029,ECI 3,2026FA,0.95,Undeclared
S030,ECI 3,2026FA,0.95,Undeclared
S031,ECI 3,2026FA,0.95,Undeclared
S032,ECI 3,2026FA,0.95,Undeclared
S033,ECI 3,2026FA,0.95,Undeclared
S034,ECI 3,2026FA,0.95,Undeclared
S035,ECI 3,2026FA,0.95,Undeclared
S036,ECI 3,2026FA,0.95,Undeclared
S037,ECI 3,2026FA,0.95,Undeclared
S038,ECI 3,2026FA,0.95,Undeclared
S039,ECI 3,2026FA,0.95,Undeclared
S040,ECI 3,2026FA,0.95,Undeclared
S041,ECI 3,2026FA,0.95,Undeclared
S042,ECI 3,2026FA,0.95,Undeclared
S043,ECI 3,2026FA,0.95,Undeclared
S044,ECI 3,2026FA,0.95,Undeclared
S045,ECI 3,2026FA,0.95,Undeclared
S046,ECI 3,2026FA,0.95,Undeclared
S047,ECI 3,2026FA,0.95,Undeclared
S048,ECI 3,2026FA,0.95,Undeclared
S049,ECI 3,2026FA,0.95,Undeclared
S050,ECI 3,2026FA,0.95,Undeclared
S051,ECI 3,2026FA,0.95,Undeclared
S052,ECI 3,2026FA,0.95,Undeclared
S053,ECI 3,2026FA,0.95,Undeclared
S054,ECI 3,2026FA,0.95,Undeclared
S055,ECI 3,2026FA,0.95,Undeclared
S056,ECI 3,2026FA,0.95,Undeclared
S057,ECI 3,2026FA,0.95,Undeclared
S058,ECI 3,2026FA,0.95,Undeclared
S059,ECI 3,2026FA,0.95,Undeclared
S060,ECI 3,2026FA,0.95,Undeclared
S061,ECI 3,2026FA,0.95,Undeclared
S062,ECI 3,2026FA,0.95,Undeclared
S063,ECI 3,2026FA,0.95,Undeclared
S064,ECI 3,2026FA,0.95,Undeclared
S065,ECI 3,2026FA,0.95,Undeclared
S066,ECI 3,2026FA,0.95,Undeclared
S067,ECI 3,2026FA,0.95,Undeclared
S068,ECI 3,2026FA,0.95,Undeclared
S069,ECI 3,2026FA,0.95,Undeclared
S070,ECI 3,2026FA,0.95,Undeclared
S071,ECI 3,2026FA,0.95,Undeclared
S072,ECI 3,2026FA,0.95,Undeclared
S073,ECI 3,2026FA,0.95,Undeclared
S074,ECI 3,2026FA,0.95,Undeclared
S075,ECI 3,2026FA,0.95,Undeclared
S076,ECI 3,2026FA,0.95,Undeclared
S077,ECI 3,2026FA,0.95,Undeclared
S078,ECI 3,2026FA,0.95,Undeclared
S079,ECI 3,2026FA,0.95,Undeclared
S080,ECI 3,2026FA,0.95,Undeclared
S081,ECI 3,2026FA,0.95,Undeclared
S082,ECI 3,2026FA,0.95,Undeclared
S083,ECI 3,2026FA,0.95,Undeclared
S084,ECI 3,2026FA,0.95,Undeclared
S085,ECI 3,2026FA,0.95,Undeclared
S086,ECI 3,2026FA,0.95,Undeclared
S087,ECI 3,2026FA,0.95,Undeclared
S088,ECI 3,2026FA,0.95,Undeclared
S089,ECI 3,2026FA,0.95,Undeclared
S090,ECI 3,2026FA,0.95,Undeclared
S091,ECI 40,2026FA,0.95,Undeclared
S092,ECI 40,2026FA,0.95,Undeclared
S093,ECI 40,2026FA,0.95,Undeclared
S094,ECI 40,2026FA,0.95,Undeclared
S095,ECI 40,2026FA,0.95,Undeclared
S096,ECI 40,2026FA,0.95,Undeclared
S097,ECI 40,2026FA,0.95,Undeclared
S098,ECI 40,2026FA,0.95,Undeclared
S099,ECI 40,2026FA,0.95,Undeclared
S100,ECI 40,2026FA,0.95,Undeclared
S101,ECI 40,2026FA,0.95,Undeclared
S102,ECI 40,2026FA,0.95,Undeclared
S103,ECI 40,2026FA,0.95,Undeclared
S104,ECI 40,2026FA,0.95,Undeclared
S105,ECI 40,2026FA,0.95,Undeclared
S106,ECI 40,2026FA,0.95,Undeclared
S107,ECI 40,2026FA,0.95,Undeclared
S108,ECI 40,2026FA,0.95,Undeclared
S109,ECI 40,2026FA,0.95,Undeclared
S110,ECI 40,2026FA,0.95,Undeclared
S111,ECI 40,2026FA,0.95,Undeclared
S112,ECI 40,2026FA,0.95,Undeclared
S113,ECI 40,2026FA,0.95,Undeclared
S114,ECI 40,2026FA,0.95,Undeclared
S115,ECI 40,2026FA,0.95,Undeclared
S116,ECI 40,2026FA,0.95,Undeclared
S117,ECI 40,2026FA,0.95,Undeclared
S118,ECI 40,2026FA,0.95,Undeclared
S119,ECI 40,2026FA,0.95,Undeclared
S120,ECI 40,2026FA,0.95,Undeclared
S121,ECI 40,2026FA,0.95,Undeclared
S122,ECI 40,2026FA,0.95,Undeclared
S123,ECI 40,2026FA,0.95,Undeclared
S124,ECI 40,2026FA,0.95,Undeclared
S125,ECI 40,2026FA,0.95,Undeclared
S126,ECI 40,2026FA,0.95,Undeclared
S127,ECI 40,2026FA,0.95,Undeclared
S128,ECI 40,2026FA,0.95,Undeclared
S129,ECI 40,2026FA,0.95,Undeclared
S130,ECI 40,2026FA,0.95,Undeclared
S131,ECI 40,2026FA,0.95,Undeclared
S132,ECI 40,2026FA,0.95,Undeclared
S133,ECI 40,2026FA,0.95,Undeclared
S134,ECI 40,2026FA,0.95,Undeclared
S135,ECI 40,2026FA,0.95,Undeclared
S136,ECI 40,2026FA,0.95,Undeclared
S137,ECI 40,2026FA,0.95,Undeclared
S138,ECI 40,2026FA,0.95,Undeclared
S139,ECI 40,2026FA,0.95,Undeclared
S140,ECI 40,2026FA,0.95,Undeclared
S141,ECI 40,2026FA,0.95,Undeclared
S142,ECI 40,2026FA,0.95,Undeclared
S143,ECI 40,2026FA,0.95,Undeclared
S144,ECI 40,2026FA,0.95,Undeclared
S145,ECI 40,2026FA,0.95,Undeclared
S146,ECI 40,2026FA,0.95,Undeclared
S147,ECI 40,2026FA,0.95,Undeclared
S148,ECI 40,2026FA,0.95,Undeclared
S149,ECI 40,2026FA,0.95,Undeclared
S150,ECI 40,2026FA,0.95,Undeclared
S151,ECI 40,2026FA,0.95,Undeclared
S152,ECI 40,2026FA,0.95,Undeclared
S153,ECI 40,2026FA,0.95,Undeclared
S154,ECI 40,2026FA,0.95,Undeclared
S155,ECI 40,2026FA,0.95,Undeclared
S156,ECI 40,2026FA,0.95,Undeclared
S157,ECI 40,2026FA,0.95,Undeclared
S158,ECI 40,2026FA,0.95,Undeclared
S159,ECI 40,2026FA,0.95,Undeclared
