student_id,year,path_type
S001,FR,Undeclared
S002,FR,Undeclared
S003,FR,Undeclared
S004,FR,Undeclared
S005,FR,Undeclared
S006,FR,Undeclared
S007,FR,Undeclared
S008,FR,Undeclared
S009,FR,Undeclared
S010,FR,Undeclared
S011,FR,Undeclared
S012,FR,Undeclared
S013,FR,Undeclared
S014,FR,Undeclared
S015,FR,Undeclared
S016,FR,Undeclared
S017,FR,Undeclared
S018,FR,Undeclared
S019,FR,Undeclared
S020,FR,Undeclared
S021,FR,Undeclared
S022,FR,Undeclared
S023,FR,Undeclared
S024,FR,Undeclared
S025,FR,Undeclared
S026,FR,Undeclared
S027,FR,Undeclared
S028,FR,Undeclared
S029,FR,Undeclared
S030,FR,Undeclared
S031,FR,Undeclared
S032,FR,Undeclared
S033,FR,Undeclared
S034,FR,Undeclared
S035,FR,Undeclared
S036,FR,Undeclared
S037,FR,Undeclared
S038,FR,Undeclared
S039,FR,Undeclared
S040,FR,Undeclared
S041,FR,Undeclared
S042,FR,Undeclared
S043,FR,Undeclared
S044,FR,Undeclared
S045,FR,Undeclared
S046,FR,Undeclared
S047,FR,Undeclared
S048,FR,Undeclared
S049,FR,Undeclared
S050,FR,Undeclared
S051,FR,Undeclared
S052,FR,Undeclared
S053,FR,Undeclared
S054,FR,Undeclared
S055,FR,Undeclared
S056,FR,Undeclared
S057,FR,Undeclared
S058,FR,Undeclared
S059,FR,Undeclared
S060,FR,Undeclared
S061,FR,Undeclared
S062,FR,Undeclared
S063,FR,Undeclared
S064,FR,Undeclared
S065,FR,Undeclared
S066,FR,Undeclared
S067,FR,Undeclared
S068,FR,Undeclared
S069,FR,Undeclared
S070,FR,Undeclared
S071,FR,Undeclared
S072,FR,Undeclared
S073,FR,Undeclared
S074,FR,Undeclared
S075,FR,Undeclared
S076,FR,Undeclared
S077,FR,Undeclared
S078,FR,Undeclared
S079,FR,Undeclared
S080,FR,Undeclared
S081,FR,Undeclared
S082,FR,Undeclared
S083,FR,Undeclared
S084,FR,Undeclared
S085,FR,Undeclared
S086,FR,Undeclared
S087,FR,Undeclared
S088,FR,Undeclared
S089,FR,Undeclared
S090,FR,Undeclared
S091,SO,Undeclared
S092,SO,Undeclared
S093,SO,Undeclared
S094,SO,Undeclared
S095,SO,Undeclared
S096,SO,Undeclared
S097,SO,Undeclared
S098,SO,Undeclared
S099,SO,Undeclared
S100,SO,Undeclared
S101,SO,Undeclared
S102,SO,Undeclared
S103,SO,Undeclared
S104,SO,Undeclared
S105,SO,Undeclared
S106,SO,Undeclared
S107,SO,Undeclared
S108,SO,Undeclared
S109,SO,Undeclared
S110,SO,Undeclared
S111,SO,Undeclared
S112,SO,Undeclared
S113,SO,Undeclared
S114,SO,Undeclared
S115,SO,Undeclared
S116,SO,Undeclared
S117,SO,Undeclared
S118,SO,Undeclared
S119,SO,Undeclared
S120,SO,Undeclared
S121,SO,Undeclared
S122,SO,Undeclared
S123,SO,Undeclared
S124,SO,Undeclared
S125,SO,Undeclared
S126,SO,Undeclared
S127,SO,Undeclared
S128,SO,Undeclared
S129,SO,Undeclared
S130,SO,Undeclared
S131,SO,Undeclared
S132,SO,Undeclared
